SET
Pager usage is off.
CREATE VIEW
--- MANIFEST ROW COUNT ---
 function_rows 
---------------
            78

--- AGGREGATE MANIFEST HASH (md5 over sorted per-row text) ---
      manifest_aggregate_md5      
----------------------------------
 52696023ca621b4a8842f22febd58851

--- MANIFEST ROWS (deterministic order) ---
Output format is csv.
schema_name,function_name,identity_args,owner,language,prokind,security_definer,volatility,is_strict,parallel,leakproof,returns_set,proconfig_sorted,acl_expanded_sorted,nargs,nargdefaults,full_args,result_type,argmodes,allargtypes,argtypes,rettype,prosrc_md5,prosrc_len,probin_md5,functiondef_md5
public,gin_trgm_triconsistent,"internal, smallint, text, integer, internal, internal, internal",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",7,0,"internal, smallint, text, integer, internal, internal, internal","""char""",,,2281 21 25 23 2281 2281 2281,"""char""",2042fbe8e50aa61204b33362850572be,22,5987d19cf03fe8483c6d7e0bb11ba2ba,ebb9557e4d7f2342aa65aa319bf2f6ad
public,gtrgm_compress,internal,supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",1,0,internal,internal,,,2281,internal,0c5e51542dfa58ac5c28c29a37958c04,14,5987d19cf03fe8483c6d7e0bb11ba2ba,0ac3144cfd060482fab5339fe0e2a9e1
public,gtrgm_consistent,"internal, text, smallint, oid, internal",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",5,0,"internal, text, smallint, oid, internal",boolean,,,2281 25 21 26 2281,boolean,520315289c6207994f47bd6b574fcbe2,16,5987d19cf03fe8483c6d7e0bb11ba2ba,00d55f7471e62f08ca85d8d4e61991e7
public,gtrgm_decompress,internal,supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",1,0,internal,internal,,,2281,internal,92fd74d4efb9a0f25dd35b9b75f71a6b,16,5987d19cf03fe8483c6d7e0bb11ba2ba,217b0af3efb9f430e911c6e2aeb0aa99
public,gtrgm_distance,"internal, text, smallint, oid, internal",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",5,0,"internal, text, smallint, oid, internal",double precision,,,2281 25 21 26 2281,double precision,96b6ebcb046f8c4a69cbe07f341d676e,14,5987d19cf03fe8483c6d7e0bb11ba2ba,374c53a6404b5daf685b2c4222c76a54
public,gtrgm_in,cstring,supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",1,0,cstring,public.gtrgm,,,2275,public.gtrgm,af406f0d6fd3f9f056beb474dc267883,8,5987d19cf03fe8483c6d7e0bb11ba2ba,193067f7484db5f8d7995e7d69d563b0
public,gtrgm_options,internal,supabase_admin,c,f,f,i,f,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",1,0,internal,void,,,2281,void,e959830838e9384393160a2b19d70bb7,13,5987d19cf03fe8483c6d7e0bb11ba2ba,18b083f2c473ca71bc90b18732d82493
public,gtrgm_out,public.gtrgm,supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",1,0,public.gtrgm,cstring,,,19842,cstring,809b516b4474d75b7ea2606e56263a8b,9,5987d19cf03fe8483c6d7e0bb11ba2ba,a9d539b1258986ddb03f20181228d7e8
public,gtrgm_penalty,"internal, internal, internal",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",3,0,"internal, internal, internal",internal,,,2281 2281 2281,internal,78a76e7fec267214504a675b59c13d82,13,5987d19cf03fe8483c6d7e0bb11ba2ba,4f0a4190629a524609fe1b21fc480341
public,gtrgm_picksplit,"internal, internal",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"internal, internal",internal,,,2281 2281,internal,c2073eb2953664de02fe1c5070a2c0e3,15,5987d19cf03fe8483c6d7e0bb11ba2ba,366a79f83941d97999f208690619b79d
